cell_id,zone_name,lat,lon,demand,competitors,residential,industrial,residential_catchment,coverage,covered_by,nearest_group_km,opportunity,reason
61_71,,25.23,55.43,67,3,3,0,True,1,bd_mirdif_35,0.39,SKIP,Insufficient demand (67 retail POIs).
62_65,"Al Karama, Dubai",25.25,55.31,721,70,5,0,True,0,,5.31,WATCH,High demand (721 retail POIs) but saturated market (70 competitors).
63_65,"Naif, Dubai",25.27,55.31,3485,106,3,0,True,0,,6.76,WATCH,High demand (3485 retail POIs) but saturated market (106 competitors).
63_66,"Al Muraqqabat, Dubai",25.27,55.33,805,60,2,0,True,0,,5.79,WATCH,High demand (805 retail POIs) but saturated market (60 competitors).
58_61,"Al Safa, Dubai",25.17,55.23,97,11,13,1,True,0,,4.36,GROW,High demand (97 retail POIs) with no group catchment reaching it; moderate competition (11 salons). Nearest group site 4.36 km away.
52_55,,25.05,55.11,25,0,1,8,False,0,,4.24,SKIP,Insufficient demand (25 retail POIs).
64_67,"Al Mamzar, Dubai",25.29,55.35,185,38,5,18,False,0,,7.54,WATCH,High demand (185 retail POIs) but saturated market (38 competitors) and no residential catchment (5 residential vs 18 industrial land parcels within 2 km) - the demand is there but the resident customer base is not.
61_69,,25.23,55.39,59,4,2,7,False,0,,2.39,SKIP,Insufficient demand (59 retail POIs).
65_68,"Al Khan, Sharjah",25.31,55.37,431,70,3,0,True,0,,6.42,WATCH,High demand (431 retail POIs) but saturated market (70 competitors).
54_57,"Al Sufouh 2, Dubai",25.09,55.15,182,18,34,6,True,1,tt_dubai_marina_mall,1.27,WATCH,High demand (182 retail POIs) but already covered by 1 group site(s).
68_69,"Khalid Port, Sharjah",25.37,55.39,350,18,12,2,True,0,,5.9,GROW,High demand (350 retail POIs) with no group catchment reaching it; moderate competition (18 salons). Nearest group site 5.9 km away.
67_68,,25.35,55.37,24,3,14,4,True,0,,6.38,SKIP,Insufficient demand (24 retail POIs).
59_63,"Business Bay, Dubai",25.19,55.27,273,7,43,4,True,1,tt_business_bay,0.28,WATCH,High demand (273 retail POIs) but already covered by 1 group site(s).
57_61,"Al Quoz Industrial 1, Dubai",25.15,55.23,106,0,18,6,True,0,,4.33,GROW,High demand (106 retail POIs) with no group catchment reaching it; moderate competition (0 salons). Nearest group site 4.33 km away.
